results_date,results_time,results_experiment_list,results_episodes,results_average_reward,results_total_reward,results_success_rate,results_steps,parameters_experiment_domain,parameters_experiment_task,parameters_experiment_condition,parameters_experiment_experiment_list,parameters_experiment_model_granularity,parameters_experiment_participant_list,parameters_experiment_random_state,parameters_neural_model_noise,parameters_neural_smoothing_method,parameters_neural_credit_assignment,parameters_neural_smoothing_window_size,parameters_neural_temporal_shift,parameters_neural_window_size_s,parameters_neural_step_size_s,parameters_neural_fnirs_rate_hz,parameters_neural_beta,parameters_mlp_model_noise,parameters_mlp_binary_hidden_layer_sizes,parameters_mlp_ternary_hidden_layer_sizes,parameters_mlp_regressor_hidden_layer_sizes,parameters_mlp_clf_activation,parameters_mlp_reg_activation,parameters_rl_n_episodes,parameters_rl_algorithm,parameters_rl_buffer_type,parameters_rl_learning_rate_init,parameters_rl_steps
2026-04-14,2026-04-14 19:20:16.919170,[0],0,"[-0.97, -2.38, -0.06, -1.74, 0.45, -3.4, -0.08, -7.37, 0.4, -5.12, 0.12, -0.93, 0.44, -4.78, 0.12, -0.99, -0.07, -4.78, -2.97, -2.09, -2.86, -3.26, -3.46, -0.25, -4.49, -1.63, -2.36, -0.43, 0.2, -0.45, 0.62, -0.09, 0.16, -0.27, 0.44, -0.13, -4.12, -0.08, -2.92, -0.14, -2.68, -0.09, 0.19, -0.06, 0.53, -0.08, 0.07, -0.05, -0.1, -0.06, 0.0, -0.06, 0.35, -0.07, 0.57, -0.11, 0.64, -0.11, 0.48, -0.04]","[-164.18, -457.85, -20.42, -632.39, 125.86, -486.23, -20.35, -773.33, 142.15, -706.65, 33.63, -431.02, 143.98, -659.71, 39.43, -372.66, -28.06, -654.74, -471.64, -609.32, -539.69, -329.11, -481.31, -126.25, -723.02, -436.03, -300.15, -215.98, 155.47, -166.8, 127.59, -46.35, 37.21, -135.76, 134.86, -66.41, -572.83, -41.88, -580.27, -71.89, -805.25, -46.39, 147.08, -27.79, 137.83, -41.39, 24.64, -26.47, -38.37, -32.29, 0.17, -32.0, 117.48, -33.87, 153.71, -56.6, 142.1, -53.9, 134.94, -19.91]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[170.0, 192.0, 341.0, 364.0, 280.0, 143.0, 263.0, 105.0, 357.0, 138.0, 279.0, 461.0, 327.0, 138.0, 327.0, 377.0, 399.0, 137.0, 159.0, 291.0, 189.0, 101.0, 139.0, 499.0, 161.0, 267.0, 127.0, 499.0, 777.0, 369.0, 207.0, 499.0, 239.0, 499.0, 304.0, 499.0, 139.0, 499.0, 199.0, 499.0, 301.0, 499.0, 785.0, 499.0, 262.0, 499.0, 348.0, 499.0, 394.0, 499.0, 414.0, 499.0, 337.0, 499.0, 272.0, 499.0, 223.0, 499.0, 284.0, 499.0]",Lunar Lander,Passive,Baseline,[0],binary,"[2, 3, 4]",42,0.1,none,window_based,1,0.0,4.0,0.5,5.2,1.0,0.0,"[10, 4, 2]","[18, 5, 3]","[20, 6, 2]",relu,tanh,30,DQN,ER,0.001,500
2026-04-14,2026-04-14 19:20:35.490045,[0],0,"[-4.26, -1.81, -4.4, -3.93, -2.38, -3.64, -2.46, -2.31, -2.28, -3.47, -2.19, -3.13, -1.22, -1.03, -4.75, -2.02, 0.16, -4.24, -1.09, -1.33, -3.76, -4.48, -0.47, -1.83, 0.44, -4.2, -4.95, -1.65, -0.95, -2.14, -1.58, -2.65, -1.06, -1.44, 0.41, -5.5, -3.2, -4.65, -8.82, -0.9, -2.2, -2.59, -5.13, -3.26, -2.97, -0.78, -3.25, -3.33, -0.66, -2.24, -1.52, -7.25, -2.54, -2.19, -9.49, -6.0, -1.88, 0.72, -0.86, -3.8, 0.27, -6.82, -1.27, -3.91, -3.0]","[-366.14, -175.32, -343.15, -353.88, -219.22, -313.2, -199.01, -189.47, -388.21, -569.06, -188.03, -278.71, -189.72, -155.48, -431.97, -270.91, 30.14, -920.14, -218.0, -229.09, -406.44, -627.26, -96.89, -343.96, 141.56, -587.54, -544.15, -344.12, -345.79, -317.41, -428.89, -416.54, -128.5, -384.78, 140.1, -764.13, -595.24, -432.67, -688.22, -368.96, -191.5, -212.75, -410.56, -273.79, -401.48, -77.77, -429.59, -630.27, -80.91, -205.69, -253.65, -884.33, -205.98, -173.27, -759.45, -695.64, -161.89, 136.03, -146.61, -555.44, 133.36, -886.16, -195.53, -492.4, -561.73]",[],"[86.0, 97.0, 78.0, 90.0, 92.0, 86.0, 81.0, 82.0, 170.0, 164.0, 86.0, 89.0, 156.0, 151.0, 91.0, 134.0, 186.0, 217.0, 200.0, 172.0, 108.0, 140.0, 204.0, 188.0, 324.0, 140.0, 110.0, 209.0, 363.0, 148.0, 272.0, 157.0, 121.0, 267.0, 338.0, 139.0, 186.0, 93.0, 78.0, 409.0, 87.0, 82.0, 80.0, 84.0, 135.0, 100.0, 132.0, 189.0, 122.0, 92.0, 167.0, 122.0, 81.0, 79.0, 80.0, 116.0, 86.0, 190.0, 170.0, 146.0, 492.0, 130.0, 154.0, 126.0, 187.0]",Lunar Lander,Active,Baseline,[0],binary,"[2, 3, 4]",42,0.1,none,window_based,1,0.0,4.0,0.5,5.2,1.0,0.0,"[10, 4, 2]","[18, 5, 3]","[20, 6, 2]",relu,tanh,30,DQN,ER,0.001,500
2026-04-14,2026-04-14 19:21:13.396015,[0],0,"[-4.26, -1.81, -4.4, -3.93, -2.38, -3.64, -2.46, -2.31, -2.28, -3.47, -2.19, -3.13, -1.22, -1.03, -4.75, -2.02, 0.16, -4.24, -1.09, -1.33, -3.76, -4.48, -0.47, -1.83, 0.44, -4.2, -4.95, -1.65, -0.95, -2.14, -1.58, -2.65, -1.06, -1.44, 0.41, -5.5, -3.2, -4.65, -8.82, -0.9, -2.2, -2.59, -5.13, -3.26, -2.97, -0.78, -3.25, -3.33, -0.66, -2.24, -1.52, -7.25, -2.54, -2.19, -9.49, -6.0, -1.88, 0.72, -0.86, -3.8, 0.27, -6.82, -1.27, -3.91, -3.0, -0.97, -0.06, 0.45, -0.08, 0.4, 0.12, 0.44, 0.12, -0.07, -2.97, -2.86, -3.46, -4.49, -2.36, 0.2, 0.62, 0.16, 0.44, -4.12, -2.92, -2.68, 0.19, 0.53, 0.07, -0.1, 0.0, 0.35, 0.57, 0.64, 0.48]","[-366.14, -175.32, -343.15, -353.88, -219.22, -313.2, -199.01, -189.47, -388.21, -569.06, -188.03, -278.71, -189.72, -155.48, -431.97, -270.91, 30.14, -920.14, -218.0, -229.09, -406.44, -627.26, -96.89, -343.96, 141.56, -587.54, -544.15, -344.12, -345.79, -317.41, -428.89, -416.54, -128.5, -384.78, 140.1, -764.13, -595.24, -432.67, -688.22, -368.96, -191.5, -212.75, -410.56, -273.79, -401.48, -77.77, -429.59, -630.27, -80.91, -205.69, -253.65, -884.33, -205.98, -173.27, -759.45, -695.64, -161.89, 136.03, -146.61, -555.44, 133.36, -886.16, -195.53, -492.4, -561.73, -164.18, -20.42, 125.86, -20.35, 142.15, 33.63, 143.98, 39.43, -28.06, -471.64, -539.69, -481.31, -723.02, -300.15, 155.47, 127.59, 37.21, 134.86, -572.83, -580.27, -805.25, 147.08, 137.83, 24.64, -38.37, 0.17, 117.48, 153.71, 142.1, 134.94]",[],"[86.0, 97.0, 78.0, 90.0, 92.0, 86.0, 81.0, 82.0, 170.0, 164.0, 86.0, 89.0, 156.0, 151.0, 91.0, 134.0, 186.0, 217.0, 200.0, 172.0, 108.0, 140.0, 204.0, 188.0, 324.0, 140.0, 110.0, 209.0, 363.0, 148.0, 272.0, 157.0, 121.0, 267.0, 338.0, 139.0, 186.0, 93.0, 78.0, 409.0, 87.0, 82.0, 80.0, 84.0, 135.0, 100.0, 132.0, 189.0, 122.0, 92.0, 167.0, 122.0, 81.0, 79.0, 80.0, 116.0, 86.0, 190.0, 170.0, 146.0, 492.0, 130.0, 154.0, 126.0, 187.0, 170.0, 341.0, 280.0, 263.0, 357.0, 279.0, 327.0, 327.0, 399.0, 159.0, 189.0, 139.0, 161.0, 127.0, 777.0, 207.0, 239.0, 304.0, 139.0, 199.0, 301.0, 785.0, 262.0, 348.0, 394.0, 414.0, 337.0, 272.0, 223.0, 284.0]",Lunar Lander,Pooled,Baseline,[0],binary,"[2, 3, 4]",42,0.1,none,window_based,1,0.0,4.0,0.5,5.2,1.0,0.0,"[10, 4, 2]","[18, 5, 3]","[20, 6, 2]",relu,tanh,30,DQN,ER,0.001,500
2026-04-14,2026-04-14 19:21:45.085558,[0],0,"[-0.97, -5.93, -0.06, -4.61, 0.45, -4.78, -0.08, -2.34, 0.4, -1.69, 0.12, -1.0, 0.44, -1.34, 0.12, -4.91, -0.07, -0.16, -2.97, -1.71, -2.86, -2.76, -3.46, -3.63, -4.49, -0.42, -2.36, -1.28, 0.2, -0.07, 0.62, -1.16, 0.16, -0.06, 0.44, -1.14, -4.12, -0.12, -2.92, -0.08, -2.68, -0.14, 0.19, -0.25, 0.53, -0.04, 0.07, -0.08, -0.1, -1.61, 0.0, -0.06, 0.35, -0.12, 0.57, -0.26, 0.64, -0.18, 0.48, -0.06]","[-164.18, -812.45, -20.42, -752.17, 125.86, -520.83, -20.35, -432.73, 142.15, -479.14, 33.63, -363.27, 143.98, -449.09, 39.43, -412.26, -28.06, -81.46, -471.64, -496.25, -539.69, -550.03, -481.31, -715.99, -723.02, -208.45, -300.15, -572.39, 155.47, -36.23, 127.59, -476.39, 37.21, -28.08, 134.86, -400.83, -572.83, -59.29, -580.27, -39.27, -805.25, -72.35, 147.08, -126.84, 137.83, -21.01, 24.64, -38.03, -38.37, -320.01, 0.17, -32.38, 117.48, -60.11, 153.71, -129.88, 142.1, -89.2, 134.94, -30.02]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[170.0, 137.0, 341.0, 163.0, 280.0, 109.0, 263.0, 185.0, 357.0, 284.0, 279.0, 362.0, 327.0, 335.0, 327.0, 84.0, 399.0, 499.0, 159.0, 290.0, 189.0, 199.0, 139.0, 197.0, 161.0, 499.0, 127.0, 446.0, 777.0, 499.0, 207.0, 412.0, 239.0, 499.0, 304.0, 352.0, 139.0, 499.0, 199.0, 499.0, 301.0, 499.0, 785.0, 499.0, 262.0, 499.0, 348.0, 499.0, 394.0, 199.0, 414.0, 499.0, 337.0, 499.0, 272.0, 499.0, 223.0, 499.0, 284.0, 499.0]",lunar,Passive,Baseline,[0],binary,"[2, 3, 4]",42,0.05,none,window_based,1,0.0,4.0,0.5,5.2,1.0,0.0,"[10, 4, 2]","[18, 5, 3]","[20, 6, 2]",relu,tanh,30,DQN,ER,0.001,500
2026-04-14,2026-04-14 19:22:14.274031,[0],0,"[-0.97, -2.72, -0.06, -4.08, 0.45, -4.33, -0.08, -3.0, 0.4, -7.36, 0.12, -5.72, 0.44, -2.89, 0.12, -4.19, -0.07, -0.06, -2.97, -1.78, -2.86, -8.33, -3.46, -1.51, -4.49, -0.18, -2.36, -0.14, 0.2, -0.09, 0.62, -0.08, 0.16, -0.08, 0.44, -0.08, -4.12, -0.1, -2.92, -0.06, -2.68, -0.13, 0.19, -0.12, 0.53, -0.08, 0.07, -0.13, -0.1, -0.1, 0.0, -0.12, 0.35, -0.08, 0.57, -0.12, 0.64, -0.11, 0.48, -0.12]","[-164.18, -579.31, -20.42, -599.22, 125.86, -680.15, -20.35, -632.15, 142.15, -809.1, 33.63, -646.48, 143.98, -719.22, 39.43, -385.75, -28.06, -27.56, -471.64, -383.47, -539.69, -800.03, -481.31, -534.31, -723.02, -87.37, -300.15, -71.82, 155.47, -43.03, 127.59, -38.44, 37.21, -40.23, 134.86, -41.77, -572.83, -49.59, -580.27, -28.14, -805.25, -67.35, 147.08, -61.04, 137.83, -38.31, 24.64, -65.75, -38.37, -50.92, 0.17, -61.91, 117.48, -40.22, 153.71, -57.92, 142.1, -55.13, 134.94, -59.83]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[170.0, 213.0, 341.0, 147.0, 280.0, 157.0, 263.0, 211.0, 357.0, 110.0, 279.0, 113.0, 327.0, 249.0, 327.0, 92.0, 399.0, 499.0, 159.0, 215.0, 189.0, 96.0, 139.0, 354.0, 161.0, 499.0, 127.0, 499.0, 777.0, 499.0, 207.0, 499.0, 239.0, 499.0, 304.0, 499.0, 139.0, 499.0, 199.0, 499.0, 301.0, 499.0, 785.0, 499.0, 262.0, 499.0, 348.0, 499.0, 394.0, 499.0, 414.0, 499.0, 337.0, 499.0, 272.0, 499.0, 223.0, 499.0, 284.0, 499.0]",lunar,Passive,Baseline,[0],binary,"[2, 3, 4]",42,0.1,none,window_based,1,0.0,4.0,0.5,5.2,1.0,0.0,"[10, 4, 2]","[18, 5, 3]","[20, 6, 2]",relu,tanh,30,DQN,ER,0.001,500
2026-04-14,2026-04-14 19:22:43.097813,[0],0,"[-0.97, -2.68, -0.06, -1.52, 0.45, -4.47, -0.08, -2.54, 0.4, -2.4, 0.12, -4.67, 0.44, -1.28, 0.12, -1.82, -0.07, -3.33, -2.97, -1.9, -2.86, -3.91, -3.46, -1.32, -4.49, -0.93, -2.36, -0.34, 0.2, -1.24, 0.62, -0.46, 0.16, -0.93, 0.44, -0.18, -4.12, -1.34, -2.92, -0.24, -2.68, -0.2, 0.19, -1.39, 0.53, -0.13, 0.07, -0.14, -0.1, -0.1, 0.0, -0.12, 0.35, -0.11, 0.57, -0.07, 0.64, -0.13, 0.48, -0.11]","[-164.18, -405.27, -20.42, -476.59, 125.86, -661.37, -20.35, -520.62, 142.15, -540.78, 33.63, -770.59, 143.98, -369.33, 39.43, -644.79, -28.06, -476.76, -471.64, -430.05, -539.69, -571.16, -481.31, -458.99, -723.02, -351.52, -300.15, -168.61, 155.47, -429.25, 127.59, -228.18, 37.21, -419.73, 134.86, -91.59, -572.83, -356.05, -580.27, -122.06, -805.25, -101.44, 147.08, -319.94, 137.83, -64.05, 24.64, -71.84, -38.37, -49.46, 0.17, -57.54, 117.48, -56.75, 153.71, -35.89, 142.1, -64.45, 134.94, -53.71]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[170.0, 151.0, 341.0, 313.0, 280.0, 148.0, 263.0, 205.0, 357.0, 225.0, 279.0, 165.0, 327.0, 289.0, 327.0, 355.0, 399.0, 143.0, 159.0, 226.0, 189.0, 146.0, 139.0, 347.0, 161.0, 378.0, 127.0, 499.0, 777.0, 345.0, 207.0, 499.0, 239.0, 452.0, 304.0, 499.0, 139.0, 265.0, 199.0, 499.0, 301.0, 499.0, 785.0, 231.0, 262.0, 499.0, 348.0, 499.0, 394.0, 499.0, 414.0, 499.0, 337.0, 499.0, 272.0, 499.0, 223.0, 499.0, 284.0, 499.0]",lunar,Passive,Baseline,[0],binary,"[2, 3, 4]",42,0.2,none,window_based,1,0.0,4.0,0.5,5.2,1.0,0.0,"[10, 4, 2]","[18, 5, 3]","[20, 6, 2]",relu,tanh,30,DQN,ER,0.001,500
2026-04-14,2026-04-14 19:23:13.733324,[0],0,"[-0.97, -4.13, -0.06, -3.79, 0.45, -5.61, -0.08, -4.28, 0.4, -1.71, 0.12, -2.09, 0.44, -3.43, 0.12, -4.69, -0.07, -3.15, -2.97, -2.63, -2.86, -2.59, -3.46, -2.02, -4.49, -0.62, -2.36, -2.28, 0.2, -0.96, 0.62, -0.1, 0.16, -0.11, 0.44, -0.17, -4.12, -1.05, -2.92, -0.07, -2.68, -1.53, 0.19, -0.09, 0.53, -0.09, 0.07, -0.11, -0.1, -0.68, 0.0, -0.11, 0.35, -0.08, 0.57, -0.09, 0.64, -0.07, 0.48, -0.09]","[-164.18, -702.21, -20.42, -568.5, 125.86, -847.42, -20.35, -436.1, 142.15, -599.56, 33.63, -393.23, 143.98, -631.3, 39.43, -708.14, -28.06, -457.12, -471.64, -607.1, -539.69, -524.89, -481.31, -533.93, -723.02, -311.49, -300.15, -636.05, 155.47, -367.02, 127.59, -47.92, 37.21, -52.84, 134.86, -87.14, -572.83, -394.25, -580.27, -35.27, -805.25, -351.35, 147.08, -46.42, 137.83, -44.45, 24.64, -56.46, -38.37, -295.95, 0.17, -57.2, 117.48, -40.82, 153.71, -43.09, 142.1, -34.71, 134.94, -44.96]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[170.0, 170.0, 341.0, 150.0, 280.0, 151.0, 263.0, 102.0, 357.0, 350.0, 279.0, 188.0, 327.0, 184.0, 327.0, 151.0, 399.0, 145.0, 159.0, 231.0, 189.0, 203.0, 139.0, 264.0, 161.0, 499.0, 127.0, 279.0, 777.0, 382.0, 207.0, 499.0, 239.0, 499.0, 304.0, 499.0, 139.0, 374.0, 199.0, 499.0, 301.0, 230.0, 785.0, 499.0, 262.0, 499.0, 348.0, 499.0, 394.0, 437.0, 414.0, 499.0, 337.0, 499.0, 272.0, 499.0, 223.0, 499.0, 284.0, 499.0]",lunar,Passive,Baseline,[0],binary,"[2, 3, 4]",42,0.3,none,window_based,1,0.0,4.0,0.5,5.2,1.0,0.0,"[10, 4, 2]","[18, 5, 3]","[20, 6, 2]",relu,tanh,30,DQN,ER,0.001,500
2026-04-14,2026-04-14 19:23:32.580969,[0],0,"[-4.26, -1.81, -4.4, -3.93, -2.38, -3.64, -2.46, -2.31, -2.28, -3.47, -2.19, -3.13, -1.22, -1.03, -4.75, -2.02, 0.16, -4.24, -1.09, -1.33, -3.76, -4.48, -0.47, -1.83, 0.44, -4.2, -4.95, -1.65, -0.95, -2.14, -1.58, -2.65, -1.06, -1.44, 0.41, -5.5, -3.2, -4.65, -8.82, -0.9, -2.2, -2.59, -5.13, -3.26, -2.97, -0.78, -3.25, -3.33, -0.66, -2.24, -1.52, -7.25, -2.54, -2.19, -9.49, -6.0, -1.88, 0.72, -0.86, -3.8, 0.27, -6.82, -1.27, -3.91, -3.0]","[-366.14, -175.32, -343.15, -353.88, -219.22, -313.2, -199.01, -189.47, -388.21, -569.06, -188.03, -278.71, -189.72, -155.48, -431.97, -270.91, 30.14, -920.14, -218.0, -229.09, -406.44, -627.26, -96.89, -343.96, 141.56, -587.54, -544.15, -344.12, -345.79, -317.41, -428.89, -416.54, -128.5, -384.78, 140.1, -764.13, -595.24, -432.67, -688.22, -368.96, -191.5, -212.75, -410.56, -273.79, -401.48, -77.77, -429.59, -630.27, -80.91, -205.69, -253.65, -884.33, -205.98, -173.27, -759.45, -695.64, -161.89, 136.03, -146.61, -555.44, 133.36, -886.16, -195.53, -492.4, -561.73]",[],"[86.0, 97.0, 78.0, 90.0, 92.0, 86.0, 81.0, 82.0, 170.0, 164.0, 86.0, 89.0, 156.0, 151.0, 91.0, 134.0, 186.0, 217.0, 200.0, 172.0, 108.0, 140.0, 204.0, 188.0, 324.0, 140.0, 110.0, 209.0, 363.0, 148.0, 272.0, 157.0, 121.0, 267.0, 338.0, 139.0, 186.0, 93.0, 78.0, 409.0, 87.0, 82.0, 80.0, 84.0, 135.0, 100.0, 132.0, 189.0, 122.0, 92.0, 167.0, 122.0, 81.0, 79.0, 80.0, 116.0, 86.0, 190.0, 170.0, 146.0, 492.0, 130.0, 154.0, 126.0, 187.0]",lunar,Active,Baseline,[0],binary,"[2, 3, 4]",42,0.05,none,window_based,1,0.0,4.0,0.5,5.2,1.0,0.0,"[10, 4, 2]","[18, 5, 3]","[20, 6, 2]",relu,tanh,30,DQN,ER,0.001,500
2026-04-14,2026-04-14 19:23:51.559158,[0],0,"[-4.26, -1.81, -4.4, -3.93, -2.38, -3.64, -2.46, -2.31, -2.28, -3.47, -2.19, -3.13, -1.22, -1.03, -4.75, -2.02, 0.16, -4.24, -1.09, -1.33, -3.76, -4.48, -0.47, -1.83, 0.44, -4.2, -4.95, -1.65, -0.95, -2.14, -1.58, -2.65, -1.06, -1.44, 0.41, -5.5, -3.2, -4.65, -8.82, -0.9, -2.2, -2.59, -5.13, -3.26, -2.97, -0.78, -3.25, -3.33, -0.66, -2.24, -1.52, -7.25, -2.54, -2.19, -9.49, -6.0, -1.88, 0.72, -0.86, -3.8, 0.27, -6.82, -1.27, -3.91, -3.0]","[-366.14, -175.32, -343.15, -353.88, -219.22, -313.2, -199.01, -189.47, -388.21, -569.06, -188.03, -278.71, -189.72, -155.48, -431.97, -270.91, 30.14, -920.14, -218.0, -229.09, -406.44, -627.26, -96.89, -343.96, 141.56, -587.54, -544.15, -344.12, -345.79, -317.41, -428.89, -416.54, -128.5, -384.78, 140.1, -764.13, -595.24, -432.67, -688.22, -368.96, -191.5, -212.75, -410.56, -273.79, -401.48, -77.77, -429.59, -630.27, -80.91, -205.69, -253.65, -884.33, -205.98, -173.27, -759.45, -695.64, -161.89, 136.03, -146.61, -555.44, 133.36, -886.16, -195.53, -492.4, -561.73]",[],"[86.0, 97.0, 78.0, 90.0, 92.0, 86.0, 81.0, 82.0, 170.0, 164.0, 86.0, 89.0, 156.0, 151.0, 91.0, 134.0, 186.0, 217.0, 200.0, 172.0, 108.0, 140.0, 204.0, 188.0, 324.0, 140.0, 110.0, 209.0, 363.0, 148.0, 272.0, 157.0, 121.0, 267.0, 338.0, 139.0, 186.0, 93.0, 78.0, 409.0, 87.0, 82.0, 80.0, 84.0, 135.0, 100.0, 132.0, 189.0, 122.0, 92.0, 167.0, 122.0, 81.0, 79.0, 80.0, 116.0, 86.0, 190.0, 170.0, 146.0, 492.0, 130.0, 154.0, 126.0, 187.0]",lunar,Active,Baseline,[0],binary,"[2, 3, 4]",42,0.1,none,window_based,1,0.0,4.0,0.5,5.2,1.0,0.0,"[10, 4, 2]","[18, 5, 3]","[20, 6, 2]",relu,tanh,30,DQN,ER,0.001,500
2026-04-14,2026-04-14 19:24:10.863907,[0],0,"[-4.26, -1.81, -4.4, -3.93, -2.38, -3.64, -2.46, -2.31, -2.28, -3.47, -2.19, -3.13, -1.22, -1.03, -4.75, -2.02, 0.16, -4.24, -1.09, -1.33, -3.76, -4.48, -0.47, -1.83, 0.44, -4.2, -4.95, -1.65, -0.95, -2.14, -1.58, -2.65, -1.06, -1.44, 0.41, -5.5, -3.2, -4.65, -8.82, -0.9, -2.2, -2.59, -5.13, -3.26, -2.97, -0.78, -3.25, -3.33, -0.66, -2.24, -1.52, -7.25, -2.54, -2.19, -9.49, -6.0, -1.88, 0.72, -0.86, -3.8, 0.27, -6.82, -1.27, -3.91, -3.0]","[-366.14, -175.32, -343.15, -353.88, -219.22, -313.2, -199.01, -189.47, -388.21, -569.06, -188.03, -278.71, -189.72, -155.48, -431.97, -270.91, 30.14, -920.14, -218.0, -229.09, -406.44, -627.26, -96.89, -343.96, 141.56, -587.54, -544.15, -344.12, -345.79, -317.41, -428.89, -416.54, -128.5, -384.78, 140.1, -764.13, -595.24, -432.67, -688.22, -368.96, -191.5, -212.75, -410.56, -273.79, -401.48, -77.77, -429.59, -630.27, -80.91, -205.69, -253.65, -884.33, -205.98, -173.27, -759.45, -695.64, -161.89, 136.03, -146.61, -555.44, 133.36, -886.16, -195.53, -492.4, -561.73]",[],"[86.0, 97.0, 78.0, 90.0, 92.0, 86.0, 81.0, 82.0, 170.0, 164.0, 86.0, 89.0, 156.0, 151.0, 91.0, 134.0, 186.0, 217.0, 200.0, 172.0, 108.0, 140.0, 204.0, 188.0, 324.0, 140.0, 110.0, 209.0, 363.0, 148.0, 272.0, 157.0, 121.0, 267.0, 338.0, 139.0, 186.0, 93.0, 78.0, 409.0, 87.0, 82.0, 80.0, 84.0, 135.0, 100.0, 132.0, 189.0, 122.0, 92.0, 167.0, 122.0, 81.0, 79.0, 80.0, 116.0, 86.0, 190.0, 170.0, 146.0, 492.0, 130.0, 154.0, 126.0, 187.0]",lunar,Active,Baseline,[0],binary,"[2, 3, 4]",42,0.2,none,window_based,1,0.0,4.0,0.5,5.2,1.0,0.0,"[10, 4, 2]","[18, 5, 3]","[20, 6, 2]",relu,tanh,30,DQN,ER,0.001,500
